,open,high,low,close,volume
2000-02-10,4.188,4.188,4.188,4.188,0
2000-02-11,4.25,4.25,4.25,4.25,0
2000-02-14,4.125,4.125,4.063,4.063,3000
2000-02-15,4.188,4.188,4.063,4.063,0
2000-02-16,4.06,4.06,4.06,4.06,0
2000-02-17,4.125,4.125,4.063,4.063,0
2000-02-18,4.063,4.063,4.0,4.063,3000
2000-02-22,4.063,4.063,4.0,4.0,3000
2000-02-23,4.0,4.063,3.875,4.0,39000
2000-02-24,4.188,4.188,3.875,4.0,84000
2000-02-25,4.063,4.063,3.875,3.875,3000
2000-02-28,3.875,3.938,3.875,3.875,3000
2000-02-29,3.875,4.313,3.875,4.25,63000
2000-03-01,4.313,4.625,4.313,4.5,69000
2000-03-02,4.375,4.375,4.25,4.25,21000
2000-03-03,4.125,4.313,4.125,4.188,15000
2000-03-06,4.188,4.313,4.188,4.313,0
2000-03-07,4.188,4.188,4.125,4.125,12000
2000-03-08,4.063,4.188,4.063,4.188,42000
2000-03-09,4.313,4.688,4.313,4.313,57000
2000-03-10,4.375,4.375,4.0,4.0,33000
2000-03-13,3.875,4.0,3.875,3.875,66000
2000-03-14,3.813,3.813,3.625,3.688,9000
2000-03-15,3.625,3.625,3.563,3.625,153000
2000-03-16,3.625,3.75,3.625,3.625,27000
2000-03-17,3.688,3.688,3.688,3.688,0
2000-03-20,3.75,3.813,3.75,3.813,6000
2000-03-21,3.875,3.875,3.625,3.75,6000
2000-03-22,3.688,3.688,3.625,3.625,0
2000-03-23,3.688,3.75,3.625,3.688,0
2000-03-24,3.688,3.875,3.688,3.875,15000
2000-03-27,3.938,4.0,3.875,3.875,3000
2000-03-28,3.938,4.063,3.938,4.0,744000
2000-03-29,4.0,4.0,4.0,4.0,414000
2000-03-30,4.0,4.0,4.0,4.0,69000
2000-03-31,4.0,4.0,4.0,4.0,72000
2000-04-03,4.125,4.125,4.0,4.0,21000
2000-04-04,4.0,4.0,4.0,4.0,6000
2000-04-05,4.063,4.063,4.0,4.0,9000
2000-04-06,4.0,4.0,4.0,4.0,0
2000-04-07,4.0,4.0,4.0,4.0,12000
2000-04-10,4.0,4.0,4.0,4.0,12000
2000-04-11,4.0,4.125,4.0,4.0,0
2000-04-12,4.0,4.0,4.0,4.0,9000
2000-04-13,4.0,4.0,4.0,4.0,0
2000-04-14,4.0,4.0,3.813,3.875,3000
2000-04-17,3.875,3.875,3.75,3.75,9000
2000-04-18,3.75,3.75,3.75,3.75,0
2000-04-19,3.75,3.75,3.75,3.75,0
2000-04-20,3.75,3.813,3.75,3.813,60000
2000-04-24,3.875,3.875,3.813,3.813,15000
2000-04-25,3.81,3.81,3.81,3.81,0
2000-04-26,3.938,3.938,3.75,3.75,9000
2000-04-27,3.75,3.75,3.75,3.75,0
2000-04-28,3.75,3.75,3.75,3.75,0
2000-05-01,3.75,3.75,3.75,3.75,0
2000-05-02,3.813,3.938,3.75,3.75,3000
2000-05-03,3.75,3.75,3.625,3.625,9000
2000-05-04,3.625,3.625,3.625,3.625,0
2000-05-05,3.625,3.625,3.625,3.625,0
2000-05-08,3.5,3.688,3.5,3.688,12000
2000-05-09,3.688,3.75,3.5,3.5,24000
2000-05-10,3.5,3.5,3.375,3.438,12000
2000-05-11,3.438,3.5,3.313,3.375,18000
2000-05-12,3.375,3.375,3.313,3.375,45000
2000-05-15,3.375,3.375,3.313,3.313,3000
2000-05-16,3.25,3.25,3.25,3.25,0
2000-05-17,3.375,3.375,3.25,3.25,0
2000-05-18,3.375,3.75,3.375,3.75,15000
2000-05-19,3.813,3.813,3.5,3.688,21000
2000-05-22,3.813,3.813,3.75,3.75,6000
2000-05-23,3.813,3.813,3.75,3.75,3000
2000-05-24,3.75,3.75,3.688,3.688,171000
2000-05-25,3.75,3.75,3.75,3.75,0
2000-05-26,3.75,3.813,3.625,3.813,153000
2000-05-30,3.75,3.813,3.75,3.75,0
2000-05-31,3.688,3.938,3.688,3.875,3000
2000-06-01,3.938,3.938,3.625,3.688,9000
2000-06-02,3.875,3.875,3.625,3.75,3000
2000-06-05,3.625,3.813,3.625,3.813,51000
2000-06-06,3.688,3.688,3.688,3.688,9000
2000-06-07,3.75,3.75,3.688,3.688,3000
2000-06-08,3.688,3.688,3.625,3.625,24000
2000-06-09,3.625,3.625,3.625,3.625,6000
2000-06-12,3.625,3.75,3.625,3.75,9000
2000-06-13,3.75,3.75,3.75,3.75,0
2000-06-14,3.625,3.688,3.625,3.688,30000
2000-06-15,3.688,4.0,3.688,3.875,15000
2000-06-16,3.875,3.875,3.75,3.75,51000
2000-06-19,3.75,3.75,3.75,3.75,0
2000-06-20,3.875,3.875,3.875,3.875,0
2000-06-21,3.875,3.938,3.875,3.938,0
2000-06-22,3.938,3.938,3.813,3.813,6000
2000-06-23,3.875,3.875,3.813,3.813,42000
2000-06-26,3.688,3.688,3.688,3.688,0
2000-06-27,3.875,3.875,3.75,3.75,3000
2000-06-28,3.813,3.875,3.75,3.75,3000
2000-06-29,3.875,3.875,3.875,3.875,12000
2000-06-30,3.938,4.0,3.938,4.0,3000
2000-07-03,4.0,4.0,4.0,4.0,0
2000-07-05,4.0,4.0,3.813,3.813,24000
2000-07-06,3.875,3.938,3.875,3.875,3000
2000-07-07,3.938,3.938,3.875,3.875,0
2000-07-10,3.938,3.938,3.875,3.875,6000
2000-07-11,3.938,3.938,3.875,3.875,0
2000-07-12,3.875,3.875,3.875,3.875,0
2000-07-13,3.875,3.875,3.875,3.875,0
2000-07-14,3.875,3.875,3.875,3.875,0
2000-07-17,3.875,3.875,3.75,3.75,0
2000-07-18,3.813,3.813,3.75,3.813,0
2000-07-19,3.875,4.125,3.813,3.813,12000
2000-07-20,4.0,4.125,4.0,4.125,330000
2000-07-21,4.0,4.313,4.0,4.313,18000
2000-07-24,4.188,4.375,4.188,4.375,6000
2000-07-25,4.313,4.313,4.313,4.313,0
2000-07-26,4.313,4.313,4.188,4.313,0
2000-07-27,4.25,4.25,4.188,4.25,6000
2000-07-28,4.125,4.125,4.063,4.125,0
2000-07-31,4.25,4.25,4.188,4.188,0
2000-08-01,4.375,4.375,4.375,4.375,12000
2000-08-02,4.313,4.313,4.313,4.313,0
2000-08-03,4.25,4.438,4.25,4.313,0
2000-08-04,4.31,4.31,4.31,4.31,0
2000-08-07,4.188,4.25,4.188,4.25,0
2000-08-08,4.313,4.438,4.313,4.438,6000
2000-08-09,4.438,4.563,4.438,4.563,9000
2000-08-10,4.563,4.563,4.5,4.5,6000
2000-08-11,4.5,4.5,4.5,4.5,0
2000-08-14,4.5,4.5,4.375,4.5,0
2000-08-15,4.375,4.375,4.25,4.375,42000
2000-08-16,4.375,4.375,4.375,4.375,30000
2000-08-17,4.313,4.375,4.313,4.313,45000
