,open,high,low,close,volume
2000-02-11,24.0,24.06,24.0,24.0,56900
2000-02-14,24.0,24.25,24.0,24.19,55300
2000-02-15,24.12,24.25,24.0,24.12,79100
2000-02-16,24.25,24.38,24.0,24.19,70200
2000-02-17,24.25,24.25,24.06,24.12,45100
2000-02-18,24.19,24.19,23.94,23.94,80400
2000-02-22,24.0,24.0,23.62,23.75,52500
2000-02-23,23.75,23.75,23.31,23.44,47000
2000-02-24,23.44,23.5,22.81,23.0,66100
2000-02-25,22.81,23.12,22.81,23.0,65500
2000-02-28,23.0,23.06,23.0,23.06,22800
2000-02-29,23.0,23.06,22.62,22.88,114900
2000-03-01,22.88,22.88,22.75,22.81,65300
2000-03-02,22.62,23.0,22.38,22.44,136200
2000-03-03,22.44,22.75,22.44,22.75,40100
2000-03-06,22.62,23.0,22.62,23.0,37400
2000-03-07,22.88,23.12,22.88,23.0,58000
2000-03-08,23.06,23.12,22.25,22.94,40700
2000-03-09,23.0,23.0,22.75,22.94,44600
2000-03-10,22.88,22.94,22.81,22.94,63200
2000-03-13,23.0,23.0,22.69,23.0,72300
2000-03-14,23.0,23.5,23.0,23.38,109300
2000-03-15,23.19,23.38,23.06,23.06,42900
2000-03-16,23.12,23.88,23.12,23.69,56600
2000-03-17,23.62,23.88,23.62,23.69,52500
2000-03-20,23.75,23.88,23.5,23.5,15800
2000-03-21,23.56,23.81,23.44,23.75,83400
2000-03-22,23.88,24.12,23.75,24.0,59800
2000-03-23,23.94,24.38,23.94,24.12,46800
2000-03-24,24.12,24.25,24.0,24.0,29600
2000-03-27,24.0,24.12,23.88,23.88,36200
2000-03-28,23.88,24.06,23.81,23.81,50300
2000-03-29,23.62,23.69,23.56,23.56,26200
2000-03-30,23.69,23.69,23.5,23.5,124100
2000-03-31,23.38,23.5,23.06,23.12,69700
2000-04-03,23.12,24.0,23.06,23.75,88800
2000-04-04,23.69,23.88,23.5,23.88,88200
2000-04-05,23.69,23.69,23.5,23.5,35800
2000-04-06,23.62,23.69,23.5,23.62,77300
2000-04-07,23.75,23.94,23.56,23.94,17600
2000-04-10,23.94,23.94,23.56,23.75,21100
2000-04-11,23.75,24.12,23.5,24.12,46700
2000-04-12,24.12,24.19,23.75,23.75,18600
2000-04-13,23.88,24.06,23.75,24.0,12500
2000-04-14,24.12,24.5,24.06,24.38,24000
2000-04-17,24.5,24.5,23.75,23.88,13400
2000-04-18,23.75,24.25,23.75,24.25,16100
2000-04-19,24.12,24.44,24.06,24.25,10600
