,open,high,low,close,volume
2000-02-10,26.88,27.19,26.81,27.06,157500
2000-02-11,27.06,27.13,26.88,26.88,99700
2000-02-14,26.88,26.88,26.13,26.25,120000
2000-02-15,26.5,26.75,25.63,25.81,102600
2000-02-16,25.69,26.06,25.69,25.94,102500
2000-02-17,25.94,26.25,25.75,26.25,75800
2000-02-18,25.94,25.94,25.75,25.88,54100
2000-02-22,25.81,26.5,25.81,26.25,261300
2000-02-23,26.44,26.44,26.06,26.19,45900
2000-02-24,26.5,26.75,26.0,26.13,68200
2000-02-25,26.06,26.5,26.0,26.06,59100
2000-02-28,26.19,26.19,25.75,25.94,147400
2000-02-29,25.94,26.25,25.88,26.0,207200
2000-03-01,26.0,26.13,25.88,26.0,80600
2000-03-02,25.88,26.13,25.75,26.06,114400
2000-03-03,26.31,26.94,26.31,26.75,78400
2000-03-06,26.81,26.88,26.44,26.88,70500
2000-03-07,26.81,26.81,25.88,25.88,71300
2000-03-08,26.25,26.5,26.13,26.38,92500
2000-03-09,26.56,26.75,26.31,26.63,38200
2000-03-10,26.63,26.81,26.0,26.0,82300
2000-03-13,26.19,27.19,26.0,27.0,239700
2000-03-14,27.13,27.38,26.56,26.56,325300
2000-03-15,26.5,26.81,25.88,26.81,367200
2000-03-16,26.75,27.5,26.63,26.94,165400
2000-03-17,26.69,27.94,26.56,27.94,195400
2000-03-20,28.13,28.13,27.63,28.06,333400
2000-03-21,27.88,27.94,27.44,27.94,42400
2000-03-22,27.94,27.94,27.69,27.88,73800
2000-03-23,27.88,27.88,27.13,27.25,289000
2000-03-24,27.38,27.38,27.0,27.06,209100
2000-03-27,27.19,27.25,27.06,27.19,483500
2000-03-28,27.0,27.5,27.0,27.25,70400
2000-03-29,26.88,27.06,26.75,26.88,92900
2000-03-30,26.63,27.31,26.63,27.0,114500
2000-03-31,27.19,27.31,26.94,27.25,176300
2000-04-03,27.25,27.31,26.91,26.94,200800
2000-04-04,26.88,26.94,26.25,26.94,99900
