date,mid,usd1mtd156n,mortgage30us,mortgage15us,dcpf3m,cpn3m,dcpf1m,aaa,baa,dff,flexsc,t10y2y,t10y3m,tedrate,t10yff,t5yff,tb6smffm,usd3mtd156n,usd12md156n,eur1wkd156n,mprime,tb3ms,dtb6,dgs10,dgs3mo,dexuseu,dexchus,dexusuk,dexsius,nasdaqcom,willreitind,willlrgcap,willsmlcap,vxdcls,stlfsi,nfci,h8b3094ncba,bc0dcbw027nbog,casdcbw027nbog,cildcbw027nbog,dpsdcbw027nbog,rhedcbw027nbog,clsacbw027nbog,dpsacbw027nbog,relacbw027nbog,rheacbw027nbog,tlaacbw027nbog,tlbacbw027nbog,totci,usepuindxd,wlemuindxd,emvfincrises,stlppm
2000-03-01,20.784,6.05,8.24,7.83,6.03,6.0,5.94,7.68,8.37,5.85,5.93,-0.27,0.39,0.5,0.39,0.63,0.0,6.2,6.83,3.52,8.83,5.69,5.85,6.26,5.86,0.96,8.28,1.58,1.72,4802.99,1396.58,31152.55,29620.62,25.04,0.97,-0.26,1113609.66,4160.26,231.76,831.86,3137.5,106.57,514.06,3521.57,1510.16,107.31,5685.93,5198.06,1024.58,64.99,46.42,0.9,0.19
2000-04-01,21.611842105263158,6.15,8.15,7.8,6.15,6.11,6.03,7.64,8.4,6.02,6.15,-0.41,0.17,0.65,-0.02,0.25,-0.21,6.31,6.89,3.73,9.0,5.66,5.81,5.99,5.82,0.94,8.28,1.58,1.71,3863.64,1494.48,30777.59,24918.02,27.34,1.14,-0.2,1123348.38,4198.24,242.78,842.4,3200.15,110.0,517.57,3584.93,1531.49,110.75,5747.53,5262.45,1033.44,59.76,88.46,1.04,0.65
2000-05-01,22.65113636363636,6.54,8.51,8.18,6.57,6.54,6.41,7.99,8.9,6.27,6.3,-0.37,0.45,0.96,0.17,0.42,-0.17,6.76,7.38,4.05,9.24,5.79,6.1,6.44,5.99,0.91,8.28,1.51,1.73,3528.42,1572.72,29787.35,24411.8,26.72,1.39,-0.22,1150509.52,4247.9,244.43,857.36,3179.58,112.58,521.47,3563.07,1559.57,113.35,5821.97,5336.37,1051.14,77.52,55.96,0.63,0.3
2000-06-01,23.02704545454545,6.65,8.29,7.99,6.59,6.57,6.53,7.67,8.48,6.53,6.62,-0.38,0.24,1.1,-0.45,-0.25,-0.56,6.79,7.25,4.31,9.5,5.69,5.97,6.1,5.86,0.95,8.28,1.51,1.73,3865.48,1608.51,30976.64,25678.55,23.38,1.33,-0.21,1148381.6,4280.54,235.79,861.72,3204.49,113.37,525.78,3581.19,1578.9,114.16,5841.58,5345.38,1062.59,67.24,74.91,0.52,0.46
2000-07-01,23.661749999999998,6.63,8.15,7.86,6.53,6.52,6.5,7.65,8.35,6.54,6.62,-0.28,-0.09,0.77,-0.46,-0.34,-0.54,6.73,7.09,4.36,9.5,5.96,6.0,6.05,6.14,0.94,8.28,1.51,1.74,4017.68,1687.3,31339.92,26368.86,19.09,1.07,-0.25,1165112.3,4297.3,235.74,862.63,3233.0,117.51,525.43,3607.03,1596.8,118.27,5861.82,5360.64,1068.18,53.87,45.33,0.55,0.37
2000-08-01,24.14173913043478,6.62,8.03,7.76,6.49,6.49,6.49,7.55,8.26,6.5,6.55,-0.4,-0.45,0.6,-0.68,-0.44,-0.43,6.69,6.98,4.48,9.5,6.09,6.07,5.83,6.28,0.9,8.28,1.49,1.72,3909.6,1731.18,31608.74,25895.23,15.96,0.88,-0.32,1155556.12,4330.57,230.42,862.14,3246.22,119.75,534.38,3625.07,1614.21,120.5,5891.58,5387.11,1071.4,47.64,37.92,0.53,0.42
2000-09-01,24.522,6.62,7.91,7.6,6.47,6.47,6.49,7.62,8.35,6.52,6.55,-0.28,-0.38,0.68,-0.72,-0.58,-0.54,6.67,6.84,4.64,9.5,6.0,5.98,5.8,6.18,0.87,8.28,1.43,1.74,3875.82,1726.28,31488.48,26436.94,19.12,0.91,-0.31,1159177.8,4365.17,233.77,867.33,3271.35,121.77,543.74,3648.16,1627.7,122.52,5961.71,5450.74,1072.46,67.99,72.01,0.59,0.28
2000-10-01,23.571363636363635,6.62,7.8,7.47,6.52,6.51,6.48,7.55,8.34,6.51,6.6,-0.17,-0.56,0.67,-0.78,-0.74,-0.47,6.78,6.74,4.8,9.5,6.11,6.04,5.74,6.29,0.85,8.28,1.45,1.75,3333.82,1675.52,29643.73,24163.14,22.11,1.07,-0.28,1144836.98,4363.43,235.74,873.88,3289.04,123.21,542.65,3658.83,1626.11,123.94,5982.16,5464.23,1077.23,67.59,112.77,0.95,0.68
2000-11-01,23.455,6.64,7.74,7.42,6.52,6.5,6.49,7.45,8.28,6.51,6.6,-0.16,-0.64,0.58,-0.81,-0.83,-0.45,6.75,6.68,4.86,9.5,6.17,6.06,5.72,6.36,0.86,8.28,1.43,1.75,3055.42,1677.39,29125.94,23831.4,23.59,1.06,-0.28,1139015.08,4392.41,240.1,875.55,3314.68,125.63,548.5,3689.26,1640.41,126.35,6033.65,5513.75,1080.48,138.22,239.23,1.01,0.29
2000-12-01,24.96125,6.69,7.38,7.06,6.33,6.34,6.52,7.21,8.02,6.4,6.5,-0.11,-0.7,0.77,-1.21,-1.28,-0.72,6.55,6.24,4.86,9.5,5.77,5.68,5.24,5.94,0.9,8.28,1.46,1.74,2657.81,1785.26,28069.37,22867.02,23.45,1.24,-0.2,1169220.68,4417.45,256.58,875.47,3368.84,127.99,560.75,3749.75,1646.94,128.71,6119.63,5597.04,1084.41,124.63,165.01,1.2,0.43
2001-01-01,24.559047619047618,5.87,7.03,6.64,5.51,5.49,5.75,7.15,7.93,5.98,5.85,0.4,-0.12,0.55,-0.86,-1.16,-1.03,5.7,5.41,4.81,9.05,5.15,4.95,5.16,5.29,0.94,8.28,1.48,1.74,2656.86,1813.51,28107.71,23822.73,21.81,1.07,-0.21,1202862.26,4438.94,266.12,880.28,3388.87,127.34,567.31,3780.73,1645.65,128.03,6192.21,5665.7,1093.67,123.21,123.36,1.27,0.23
2001-02-01,24.164473684210527,5.52,7.05,6.64,5.19,5.14,5.41,7.1,7.87,5.49,5.48,0.44,0.09,0.46,-0.41,-0.62,-0.78,5.35,5.15,4.83,8.5,4.88,4.71,5.1,5.01,0.92,8.28,1.45,1.74,2449.57,1794.31,27404.02,24045.44,20.37,0.87,-0.31,1193939.88,4446.92,237.32,885.71,3383.34,128.86,562.43,3771.49,1653.46,129.57,6143.28,5609.14,1094.29,122.26,83.63,0.5,0.4
2001-03-01,24.45886363636364,5.13,6.95,6.51,4.81,4.78,5.06,6.98,7.84,5.31,5.22,0.54,0.35,0.54,-0.42,-0.67,-1.03,4.96,4.77,4.82,8.32,4.42,4.28,4.89,4.54,0.91,8.28,1.44,1.77,1986.66,1805.95,24773.68,21992.97,25.62,0.96,-0.28,1187644.8,4431.96,229.49,881.38,3412.18,130.3,556.58,3796.68,1661.76,130.99,6163.06,5623.41,1092.37,124.46,156.95,1.2,0.33
2001-04-01,23.755499999999998,4.8,7.08,6.6,4.47,4.44,4.74,7.2,8.07,4.8,4.9,0.91,1.17,0.75,0.34,-0.04,-0.95,4.61,4.5,4.87,7.8,3.87,3.85,5.14,3.97,0.89,8.28,1.43,1.81,1933.93,1801.62,24841.36,21832.28,26.76,1.16,-0.29,1213949.92,4452.81,236.3,882.62,3477.59,131.64,557.85,3877.28,1671.86,132.3,6224.09,5679.04,1089.29,105.17,189.54,0.53,0.06
2001-05-01,24.44954545454545,4.16,7.14,6.67,3.96,3.93,4.08,7.29,8.07,4.21,4.17,1.13,1.69,0.48,1.16,0.7,-0.59,4.1,4.28,4.67,7.24,3.62,3.62,5.39,3.7,0.88,8.28,1.43,1.81,2181.13,1862.93,26609.45,24438.31,21.46,0.9,-0.4,1186481.76,4487.8,237.66,882.02,3449.43,134.31,562.3,3854.69,1689.54,134.98,6207.18,5659.66,1084.98,96.31,119.95,0.32,0.27
2001-06-01,24.98571428571428,3.91,7.16,6.7,3.69,3.67,3.84,7.18,7.97,3.97,3.88,1.2,1.72,0.35,1.33,0.86,-0.52,3.83,4.05,4.56,6.98,3.49,3.45,5.28,3.57,0.85,8.28,1.4,1.82,2112.05,1955.28,25979.68,24307.51,19.57,0.77,-0.43,1156774.32,4484.2,229.13,869.6,3460.38,135.15,561.17,3866.68,1693.18,135.81,6180.5,5628.4,1073.24,70.57,63.96,0.27,0.38
2001-07-01,25.456904761904763,3.82,7.13,6.68,3.62,3.59,3.73,7.13,7.97,3.77,3.72,1.2,1.64,0.23,1.46,0.98,-0.32,3.75,4.0,4.54,6.75,3.51,3.45,5.24,3.59,0.86,8.28,1.41,1.82,2033.98,1983.43,25277.48,23804.64,20.97,0.73,-0.43,1165424.65,4465.72,244.46,858.64,3482.34,136.88,558.9,3881.43,1699.65,137.53,6169.46,5608.85,1064.26,91.9,118.07,0.67,0.36
2001-08-01,26.084130434782608,3.64,6.95,6.5,3.44,3.42,3.57,7.02,7.85,3.65,3.62,1.21,1.53,0.21,1.31,0.92,-0.36,3.57,3.71,4.51,6.67,3.36,3.29,4.97,3.44,0.9,8.28,1.44,1.76,1929.71,2049.83,24698.8,23402.0,21.91,0.63,-0.43,1161832.36,4483.25,236.58,849.97,3497.35,139.9,561.92,3886.7,1704.6,140.57,6218.74,5640.38,1057.06,80.84,110.73,0.67,0.07
2001-09-01,24.373333333333335,3.15,6.82,6.34,2.84,2.81,2.96,7.17,8.03,3.07,3.25,1.61,2.04,0.35,1.84,1.22,-0.44,3.03,3.11,4.07,6.28,2.64,2.63,4.73,2.69,0.91,8.28,1.46,1.75,1573.31,1940.05,21889.99,20383.19,32.37,1.03,-0.28,1213641.83,4562.24,283.49,855.3,3631.86,143.62,567.06,4023.99,1718.53,144.33,6472.37,5886.06,1059.69,234.57,496.03,1.43,0.08
2001-10-01,23.844782608695652,2.48,6.62,6.1,2.28,2.28,2.42,7.03,7.91,2.49,2.55,1.84,2.37,0.24,2.07,1.41,-0.37,2.4,2.5,3.84,5.53,2.16,2.12,4.57,2.2,0.9,8.28,1.45,1.81,1656.43,1917.59,22565.04,20845.12,31.29,0.94,-0.24,1183060.84,4534.94,263.03,846.67,3566.95,147.4,565.09,3975.93,1720.63,148.1,6389.01,5794.34,1045.56,236.41,328.38,0.51,0.0
2001-11-01,25.014523809523812,2.13,6.66,6.15,2.0,1.97,2.04,6.97,7.81,2.09,2.15,1.87,2.74,0.23,2.54,1.86,-0.21,2.1,2.38,3.49,5.1,1.87,1.88,4.65,1.91,0.89,8.28,1.44,1.83,1870.06,1961.83,23673.85,22370.97,26.39,0.81,-0.31,1171087.77,4574.82,264.61,836.77,3608.89,150.51,572.82,4039.5,1746.66,151.22,6446.12,5846.99,1034.44,154.39,146.76,0.58,0.0
