,open,high,low,close,volume
2000-02-11,29.19,29.81,29.19,29.44,15200
2000-02-14,29.44,29.44,28.75,28.75,7100
2000-02-15,28.62,28.62,27.62,28.44,29300
2000-02-16,27.94,28.38,27.69,27.88,45700
2000-02-17,27.88,28.19,27.44,27.5,21800
2000-02-18,27.62,27.62,27.0,27.19,12000
2000-02-22,27.38,27.38,26.5,26.56,10700
2000-02-23,26.56,27.0,24.5,27.0,110400
2000-02-24,27.0,27.12,26.75,26.81,10100
2000-02-25,26.81,27.12,26.81,26.94,18500
2000-02-28,26.94,26.94,26.75,26.81,73900
2000-02-29,26.81,27.56,26.75,27.56,83900
2000-03-01,27.56,27.62,27.25,27.25,26400
2000-03-02,27.12,27.12,26.94,26.94,8000
2000-03-03,27.0,27.0,26.41,26.5,8200
2000-03-06,26.38,26.94,26.12,26.88,12000
2000-03-07,27.0,27.0,26.88,26.88,8800
2000-03-08,26.81,26.81,26.44,26.69,18100
2000-03-09,26.56,26.94,26.56,26.81,7000
2000-03-10,26.81,27.12,26.69,27.0,19000
2000-03-13,26.94,26.94,26.31,26.44,7200
2000-03-14,26.31,26.31,25.81,25.81,7000
2000-03-15,25.75,25.75,25.19,25.19,4800
2000-03-16,25.19,26.0,25.12,26.0,15000
2000-03-17,25.88,26.75,25.88,26.75,13900
2000-03-20,26.75,27.0,26.56,26.56,12500
2000-03-21,26.56,26.56,26.19,26.56,13200
2000-03-22,26.75,27.0,26.75,27.0,11300
2000-03-23,27.12,27.56,27.12,27.5,21900
2000-03-24,27.62,28.19,27.62,28.06,20100
2000-03-27,29.12,29.25,28.62,28.62,38100
2000-03-28,28.69,28.69,27.62,27.75,11700
2000-03-29,27.75,27.75,27.0,27.06,29700
2000-03-30,27.12,27.19,27.06,27.06,10200
2000-03-31,26.94,27.12,26.62,27.12,10300
2000-04-03,27.0,27.12,26.75,26.75,10400
2000-04-04,26.62,26.69,26.0,26.56,20700
2000-04-05,26.69,27.38,26.69,27.06,24700
2000-04-06,27.06,27.06,26.88,27.0,6300
2000-04-07,27.12,27.12,26.69,26.94,6900
2000-04-10,27.06,27.06,26.44,26.44,8600
2000-04-11,26.44,26.44,25.94,26.0,5300
2000-04-12,25.88,25.88,25.25,25.25,7900
2000-04-13,25.25,25.38,24.75,25.38,14000
2000-04-14,25.25,25.25,24.94,24.94,12300
2000-04-17,24.81,25.06,24.25,25.06,18900
2000-04-18,25.19,25.19,24.44,24.94,17700
2000-04-19,24.94,24.94,24.44,24.75,11400
2000-04-20,24.81,25.06,24.81,25.06,12200
2000-04-24,24.94,25.0,24.5,24.62,12300
2000-04-25,24.62,24.62,23.19,23.44,30300
2000-04-26,23.19,23.94,23.19,23.88,13800
2000-04-27,23.75,23.88,23.25,23.38,12000
2000-04-28,23.44,23.94,23.38,23.94,5500
2000-05-01,24.0,24.62,24.0,24.62,10800
2000-05-02,24.44,24.75,24.38,24.5,11300
2000-05-03,24.5,24.5,24.38,24.44,1900
2000-05-04,24.44,24.44,24.19,24.25,4700
2000-05-05,24.0,24.12,23.88,24.06,3100
2000-05-08,24.12,24.12,23.44,23.44,8900
2000-05-09,23.38,23.38,23.16,23.25,2900
2000-05-10,22.88,23.06,22.88,23.0,31300
2000-05-11,22.88,22.94,22.5,22.88,118500
2000-05-12,22.69,23.0,22.69,22.81,21000
2000-05-15,22.75,23.0,22.75,22.88,19900
2000-05-16,23.25,23.56,23.25,23.56,17500
2000-05-17,23.5,23.5,23.06,23.06,5500
2000-05-18,22.94,23.12,22.75,22.94,12700
2000-05-19,22.81,22.94,22.44,22.5,14000
2000-05-22,22.56,22.62,22.31,22.5,7900
2000-05-23,22.31,22.75,22.19,22.38,21000
2000-05-24,22.12,22.75,21.81,22.75,20400
2000-05-25,22.88,23.0,22.75,22.75,7700
2000-05-26,22.62,22.62,22.06,22.12,7500
2000-05-30,22.25,22.88,22.12,22.88,21200
2000-05-31,22.88,22.88,22.38,22.62,24400
2000-06-01,22.38,22.38,22.19,22.25,4900
2000-06-02,22.38,22.69,22.38,22.5,14500
2000-06-05,22.25,23.0,22.25,22.88,7200
2000-06-06,22.88,22.88,22.69,22.88,3300
2000-06-07,22.62,22.69,22.12,22.19,15900
2000-06-08,22.12,22.19,21.62,22.06,8000
2000-06-09,22.19,22.19,21.19,21.44,17200
2000-06-12,21.38,21.38,20.88,20.94,8500
2000-06-13,21.06,21.75,21.06,21.38,17300
2000-06-14,21.38,21.62,21.0,21.44,111300
2000-06-15,22.0,22.0,21.75,22.0,74600
2000-06-16,22.25,22.25,21.5,21.56,20700
2000-06-19,21.69,21.88,21.38,21.62,7200
2000-06-20,21.75,21.75,21.0,21.06,14700
2000-06-21,20.88,21.62,20.88,21.44,21600
2000-06-22,21.69,21.69,20.88,20.88,14300
2000-06-23,21.0,21.0,20.25,20.31,5800
2000-06-26,20.56,20.62,20.25,20.25,13800
2000-06-27,20.31,20.56,20.25,20.38,24800
2000-06-28,20.38,21.25,20.38,20.81,21500
2000-06-29,20.94,21.0,20.69,20.94,8700
2000-06-30,20.81,21.5,20.81,21.5,25900
2000-07-03,21.88,23.12,21.88,23.06,23800
2000-07-05,23.06,23.19,22.88,23.06,19900
2000-07-06,23.06,23.12,22.62,23.12,16200
2000-07-07,23.38,23.88,23.38,23.5,17000
2000-07-10,23.69,24.25,23.69,24.25,20100
2000-07-11,24.38,24.38,22.69,22.69,16800
2000-07-12,22.81,22.88,22.5,22.56,14300
2000-07-13,22.56,22.56,22.25,22.38,7600
2000-07-14,22.25,22.25,21.75,21.81,16600
2000-07-17,21.75,21.88,20.94,20.94,21000
2000-07-18,20.88,20.94,20.38,20.44,12200
2000-07-19,20.56,20.75,20.56,20.62,5600
2000-07-20,20.69,20.69,20.0,20.31,17700
2000-07-21,20.44,20.44,20.0,20.0,9800
2000-07-24,20.25,20.38,19.81,19.81,11900
2000-07-25,19.94,20.0,19.5,20.0,17800
2000-07-26,20.5,21.75,20.5,21.75,30400
2000-07-27,21.94,22.5,21.88,21.88,57100
2000-07-28,22.0,22.0,21.75,21.75,50300
2000-07-31,21.75,24.81,21.38,24.81,44000
2000-08-01,25.06,25.62,25.06,25.62,31500
