,open,high,low,close,volume
2000-02-11,30.62,30.88,30.56,30.69,23600
2000-02-14,30.5,30.62,30.25,30.25,50400
2000-02-15,30.25,30.56,30.25,30.5,24400
2000-02-16,30.5,30.62,30.31,30.5,12600
2000-02-17,30.38,30.56,30.12,30.56,41500
2000-02-18,30.69,30.75,30.31,30.31,10700
2000-02-22,29.75,30.38,29.5,30.38,68400
2000-02-23,30.25,30.25,29.88,30.0,70900
2000-02-24,30.0,30.0,28.75,29.81,57400
2000-02-25,29.81,29.81,29.62,29.75,15700
2000-02-28,29.62,29.75,29.25,29.75,83500
2000-02-29,29.62,29.75,29.25,29.5,51700
2000-03-01,29.5,29.75,29.5,29.5,43900
2000-03-02,29.25,29.38,29.06,29.25,21000
2000-03-03,29.5,29.88,29.38,29.5,43800
2000-03-06,29.5,29.5,28.75,29.0,58000
2000-03-07,29.0,29.06,28.75,28.81,23200
2000-03-08,28.81,28.88,28.25,28.88,40200
2000-03-09,29.0,29.25,28.88,29.12,31900
2000-03-10,29.06,29.5,29.0,29.0,31500
2000-03-13,29.0,29.25,29.0,29.0,43000
2000-03-14,29.12,29.12,28.88,28.88,96000
2000-03-15,28.88,28.88,28.62,28.75,123000
2000-03-16,28.62,28.62,28.0,28.0,88600
2000-03-17,28.0,28.0,27.75,27.88,51300
2000-03-20,27.75,27.94,27.44,27.56,23200
2000-03-21,27.5,27.5,26.88,27.38,103200
2000-03-22,27.12,28.25,27.12,28.25,223400
2000-03-23,28.25,28.62,28.12,28.62,168500
2000-03-24,28.5,28.88,28.38,28.75,44800
2000-03-27,28.75,28.88,28.44,28.5,65500
2000-03-28,28.75,29.0,28.62,28.81,78200
2000-03-29,28.62,28.94,28.62,28.88,37900
2000-03-30,29.06,29.25,29.0,29.06,89500
2000-03-31,29.0,29.19,28.88,28.88,98400
2000-04-03,28.88,29.5,28.88,29.44,8200
2000-04-04,29.25,29.44,29.25,29.38,47200
2000-04-05,29.38,30.06,29.38,30.06,41700
2000-04-06,30.06,30.75,30.06,30.75,33500
2000-04-07,30.88,31.12,30.81,30.94,34800
2000-04-10,30.94,31.0,30.69,30.88,51800
2000-04-11,30.88,31.0,30.75,31.0,6500
2000-04-12,30.88,31.62,30.88,31.38,36000
2000-04-13,31.5,31.69,31.5,31.56,9400
2000-04-14,31.75,32.62,31.5,32.5,49300
2000-04-17,32.25,32.5,31.5,31.88,9800
2000-04-18,31.12,31.75,31.12,31.75,35700
2000-04-19,31.88,32.38,31.62,32.38,54700
2000-04-20,32.38,32.62,32.25,32.38,64800
2000-04-24,32.5,32.62,32.25,32.62,11700
2000-04-25,32.81,33.0,32.62,32.81,109900
2000-04-26,32.94,32.94,32.56,32.75,29200
2000-04-27,32.75,32.94,32.62,32.94,27200
2000-04-28,32.94,33.12,32.75,33.12,43800
2000-05-01,33.19,33.19,32.62,33.19,46200
2000-05-02,33.0,33.62,32.94,33.0,42400
2000-05-03,33.06,33.06,32.69,32.75,45600
2000-05-04,32.75,32.75,32.5,32.69,29500
2000-05-05,32.5,32.69,32.38,32.69,17900
2000-05-08,32.69,32.69,32.0,32.31,28200
2000-05-09,32.31,32.56,32.0,32.44,34300
2000-05-10,32.31,32.38,32.06,32.38,31800
2000-05-11,32.25,32.44,32.19,32.44,28400
2000-05-12,32.44,32.88,32.31,32.75,32000
2000-05-15,32.69,32.88,32.62,32.81,34000
2000-05-16,33.0,33.06,32.75,32.75,13200
2000-05-17,32.88,32.88,32.56,32.75,59500
2000-05-18,33.0,33.0,32.81,32.81,58600
2000-05-19,32.75,32.81,32.56,32.69,25100
2000-05-22,32.56,32.81,32.5,32.69,27200
2000-05-23,32.81,32.88,32.44,32.44,7700
2000-05-24,32.44,32.75,32.44,32.75,39800
2000-05-25,32.88,32.88,32.69,32.75,30500
2000-05-26,32.62,32.69,32.5,32.69,13400
2000-05-30,32.5,32.69,32.25,32.38,21100
2000-05-31,32.25,32.5,32.25,32.38,9600
2000-06-01,32.5,32.5,32.38,32.5,5300
2000-06-02,32.62,32.62,32.38,32.5,13500
2000-06-05,32.5,32.62,32.25,32.5,31200
2000-06-06,32.62,32.75,32.44,32.62,25200
2000-06-07,32.62,32.88,32.62,32.88,5300
2000-06-08,32.88,33.12,32.88,33.0,4300
2000-06-09,33.06,33.25,33.0,33.25,3300
2000-06-12,33.12,33.12,32.75,32.75,12500
2000-06-13,32.62,32.94,32.62,32.94,37600
2000-06-14,32.75,33.0,32.56,32.88,38000
2000-06-15,32.88,32.94,32.44,32.62,19900
2000-06-16,32.62,32.62,32.12,32.19,21600
2000-06-19,32.12,32.44,32.06,32.44,11300
2000-06-20,32.31,32.56,32.31,32.44,20600
2000-06-21,32.44,32.75,32.44,32.69,74500
2000-06-22,32.69,32.75,32.62,32.69,33900
2000-06-23,32.69,32.75,31.88,31.94,36900
2000-06-26,31.88,32.5,31.88,32.31,34200
2000-06-27,32.44,33.12,32.38,33.0,26200
2000-06-28,33.0,33.5,33.0,33.5,43600
2000-06-29,33.75,33.88,33.56,33.62,31400
2000-06-30,33.75,33.75,33.25,33.45,90700
2000-07-03,33.44,33.44,33.25,33.38,3300
2000-07-05,33.62,33.62,33.38,33.44,20500
2000-07-06,33.5,33.94,33.44,33.75,104900
2000-07-07,33.75,33.81,33.5,33.75,40200
2000-07-10,33.75,33.75,33.62,33.69,32400
2000-07-11,33.19,33.19,32.5,32.62,23900
2000-07-12,32.38,32.88,32.38,32.88,15100
2000-07-13,33.12,33.12,32.5,32.62,50100
2000-07-14,32.62,32.75,32.25,32.31,32300
2000-07-17,32.19,32.62,32.19,32.62,5700
2000-07-18,32.5,32.62,32.5,32.62,16200
2000-07-19,32.5,32.56,32.31,32.31,16200
