,open,high,low,close,volume,name
2020-02-03,232.98,235.04,232.11,234.07,1560164,AMT
2020-01-31,234.36,234.94,230.85,231.74,1700943,AMT
2020-01-30,232.42,235.26,231.31,235.2,1271352,AMT
2020-01-29,237.43,237.86,232.86,233.44,1434417,AMT
2020-01-28,237.11,237.67,236.33,237.18,1051762,AMT
2020-01-27,236.32,238.16,235.675,237.47,1197185,AMT
2020-01-24,238.0,239.99,236.72,237.52,1284832,AMT
2020-01-23,235.16,238.49,235.01,237.83,1485443,AMT
2020-01-22,237.91,238.17,234.26,235.16,1294017,AMT
2020-01-21,233.92,237.92,233.0,236.73,1827053,AMT
2020-01-17,232.89,234.41,232.59,233.42,2352869,AMT
2020-01-16,235.0,235.15,231.94,232.24,1782896,AMT
2020-01-15,234.5,236.74,234.5,235.38,1152104,AMT
2020-01-14,235.13,235.94,232.8434,233.95,1217111,AMT
2020-01-13,231.25,235.42,231.15,235.41,1840572,AMT
2020-01-10,228.09,231.02,227.44,230.8,1578893,AMT
2020-01-09,225.5,227.14,225.36,226.47,1376723,AMT
2020-01-08,223.48,226.485,222.52,225.62,1433878,AMT
2020-01-07,227.13,227.57,221.62,223.68,1463785,AMT
2020-01-06,228.48,230.0,227.8922,228.55,1526279,AMT
2020-01-03,227.56,229.83,227.0,228.61,1598897,AMT
2020-01-02,229.68,231.1499,228.0051,228.5,1425971,AMT
2019-12-31,228.97,229.86,227.485,229.82,1199147,AMT
2019-12-30,228.56,229.0,227.232,228.85,1259823,AMT
2019-12-27,228.52,229.29,227.55,229.08,749385,AMT
2019-12-26,226.69,227.87,225.57,227.87,1035327,AMT
2019-12-24,227.14,228.04,226.26,227.08,491911,AMT
2019-12-23,227.11,229.98,226.4,226.97,1096409,AMT
2019-12-20,226.8,228.275,224.5,227.74,3333084,AMT
2019-12-19,217.52,224.945,217.4351,224.2,2957992,AMT
2019-12-18,212.8,218.91,212.43,217.95,2143283,AMT
2019-12-17,216.31,217.09,211.03,211.93,2439874,AMT
2019-12-16,213.0,216.8,212.52,215.6,1827299,AMT
2019-12-13,209.11,212.84,208.25,212.52,1988571,AMT
2019-12-12,211.65,211.86,208.61,209.69,1835948,AMT
2019-12-11,210.67,212.3,210.0,211.56,1434823,AMT
2019-12-10,213.35,214.08,209.195,210.0,1414837,AMT
2019-12-09,212.06,213.99,211.83,212.65,938499,AMT
2019-12-06,213.76,214.0,211.89,212.2,1205979,AMT
2019-12-05,213.22,214.125,211.96,213.53,868222,AMT
2019-12-04,210.11,213.71,210.02,213.36,1276360,AMT
2019-12-03,209.26,212.5,209.25,211.21,1524456,AMT
2019-12-02,214.15,214.64,209.46,209.57,1189351,AMT
2019-11-29,214.91,215.795,213.68,214.03,654257,AMT
2019-11-27,214.8,215.51,212.74,214.91,1116991,AMT
2019-11-26,209.59,215.02,209.59,214.79,1880302,AMT
2019-11-25,210.49,211.69,208.82,209.71,1441027,AMT
2019-11-22,213.49,214.0899,209.79,210.11,1779813,AMT
2019-11-21,217.52,218.9,213.31,213.54,1361407,AMT
2019-11-20,215.72,219.33,215.64,217.9,1297767,AMT
2019-11-19,214.67,216.6033,213.86,215.57,1526348,AMT
2019-11-18,212.98,215.67,212.98,214.33,1353725,AMT
2019-11-15,212.21,213.43,210.195,213.37,1546625,AMT
2019-11-14,210.4,211.91,210.0,211.8,1362831,AMT
2019-11-13,207.78,211.09,207.56,210.32,1695287,AMT
2019-11-12,207.44,208.77,206.35,206.75,1475372,AMT
2019-11-11,205.7,208.59,205.58,207.35,1347179,AMT
2019-11-08,204.89,208.56,204.255,205.87,1819386,AMT
2019-11-07,206.71,207.2,203.53,205.69,2117355,AMT
2019-11-06,206.31,208.8803,205.87,207.98,2205016,AMT
2019-11-05,210.65,210.73,202.91,206.01,3448887,AMT
2019-11-04,214.76,215.48,211.0,211.07,1639950,AMT
2019-11-01,219.15,219.76,212.35,215.52,2112086,AMT
2019-10-31,218.5,219.5,214.05,218.08,2021113,AMT
2019-10-30,216.18,217.41,214.5972,217.24,1520207,AMT
2019-10-29,211.01,216.82,210.55,216.16,2043978,AMT
2019-10-28,218.78,219.0,210.027,210.75,3431348,AMT
2019-10-25,223.19,223.2,215.2,216.67,2408729,AMT
2019-10-24,226.0,226.73,223.35,223.47,1098983,AMT
2019-10-23,226.25,227.36,223.87,226.02,1156585,AMT
2019-10-22,229.16,231.21,226.43,226.74,1341139,AMT
2019-10-21,229.24,229.59,226.7,229.4,1274594,AMT
2019-10-18,225.95,229.595,225.85,229.09,1544366,AMT
2019-10-17,224.1,227.15,223.46,225.91,1199367,AMT
2019-10-16,223.55,223.55,220.55,221.97,1511652,AMT
2019-10-15,225.74,226.46,221.84,224.21,1000654,AMT
2019-10-14,224.99,226.6,224.51,225.64,838028,AMT
2019-10-11,226.17,227.06,224.35,224.45,1367848,AMT
2019-10-10,226.15,227.68,224.11,226.28,1896279,AMT
2019-10-09,226.57,227.35,225.33,226.57,1040670,AMT
2019-10-08,225.22,228.12,223.64,226.1,1962188,AMT
2019-10-07,225.19,226.61,222.97,225.28,1005848,AMT
2019-10-04,223.97,227.4,223.66,225.93,1674964,AMT
2019-10-03,220.42,225.52,220.27,223.9,1604747,AMT
2019-10-02,220.75,222.0,218.5,219.99,1389623,AMT
2019-10-01,220.7,222.87,218.22,220.89,1545386,AMT
2019-09-30,219.32,221.78,218.87,221.13,1704553,AMT
2019-09-27,223.09,223.09,216.86,218.98,1832360,AMT
2019-09-26,221.64,224.07,221.55,223.0,1353813,AMT
2019-09-25,225.46,225.62,220.86,222.04,1714870,AMT
2019-09-24,226.1,227.27,223.1,225.16,1729857,AMT
2019-09-23,225.84,226.51,224.9458,225.38,1267040,AMT
2019-09-20,228.25,228.48,224.73,225.56,2794971,AMT
2019-09-19,220.54,229.36,220.0,227.07,2286274,AMT
2019-09-18,221.95,222.6,218.47,221.61,1319813,AMT
2019-09-17,218.4,221.4,217.52,221.3,1857653,AMT
2019-09-16,215.52,217.5,215.03,216.77,1422110,AMT
2019-09-13,218.29,219.25,213.9231,215.37,1908731,AMT
2019-09-12,216.02,219.35,214.67,218.85,2334242,AMT
2019-09-11,215.95,217.87,212.5,212.7,3019636,AMT
2019-09-10,222.83,222.99,213.5,216.21,4266137,AMT
2019-09-09,232.78,233.18,223.74,224.0,2994020,AMT
2019-09-06,235.95,236.56,231.66,232.59,2307562,AMT
2019-09-05,242.0,242.0,234.59,235.75,2059105,AMT
2019-09-04,238.23,242.0,237.97,241.07,1796124,AMT
2019-09-03,230.6,237.9,230.19,237.84,1843067,AMT
2019-08-30,231.49,231.67,229.0673,230.19,1426169,AMT
